L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
37.9564,30.2004,53.2709,0.523455,1.29849,1.24024,84.406,0.00318742,6.91874,7.00823,34.699,0.496624,0.564719,0.560918,8.36221,0.000592464,2.12065,1.51226,19.4364,3.75431
37.9565,30.2005,53.2713,0.547872,1.29913,1.24074,84.4132,0.00469441,6.91883,7.00833,34.6994,0.521041,0.565362,0.561419,8.36935,0.00119494,2.12041,1.51195,19.4182,3.7524
37.9554,30.1995,53.2707,0.490919,1.29754,1.23933,84.3766,0.00368825,6.91775,7.00729,34.6988,0.464088,0.563778,0.560009,8.33278,0.00116031,2.1214,1.51269,19.4995,3.75696
37.954,30.1981,53.2711,0.538733,1.29815,1.23976,84.4164,0.00424348,6.9164,7.00592,34.6993,0.511901,0.564387,0.560436,8.37255,0.00190645,2.12039,1.51212,19.4142,3.75348
37.9564,30.2005,53.2704,0.506593,1.29753,1.23948,84.3748,0.00692975,6.91876,7.00831,34.6986,0.479762,0.563766,0.560155,8.331,0.00265386,2.12136,1.51247,19.4999,3.75562
37.9563,30.2004,53.2698,0.584522,1.29643,1.2385,84.3489,0.00557962,6.91863,7.0082,34.698,0.55769,0.562665,0.559175,8.30508,0.00206078,2.12207,1.51151,19.559,3.74974
37.9576,30.2017,53.2712,0.540678,1.29958,1.24124,84.4003,0.00416819,6.91995,7.00945,34.6994,0.513847,0.565811,0.561922,8.35651,0.00193383,2.12071,1.51201,19.4411,3.75278
37.9563,30.2004,53.2707,0.526906,1.29788,1.23972,84.3783,0.00493495,6.91864,7.00816,34.6988,0.500074,0.564112,0.560394,8.33452,0.00188182,2.12131,1.51222,19.493,3.75407
37.9569,30.2009,53.271,0.489587,1.2994,1.24108,84.4284,0.00419575,6.91922,7.00871,34.6991,0.462756,0.565634,0.561764,8.3846,0.00193747,2.12003,1.51266,19.3843,3.75682
37.9552,30.1992,53.2704,0.579537,1.299,1.24085,84.3709,0.00343701,6.91753,7.00701,34.6986,0.552705,0.565237,0.561527,8.32709,0.00147297,2.12147,1.5116,19.5045,3.75024
37.9557,30.1998,53.2701,0.49841,1.2975,1.23957,84.3467,0.00408986,6.91802,7.00756,34.6982,0.471579,0.563736,0.560247,8.30293,0.00101288,2.12211,1.51259,19.5612,3.75639
37.9572,30.2013,53.2699,0.544418,1.29784,1.23992,84.3627,0.00504842,6.91955,7.00909,34.6981,0.517587,0.564075,0.560596,8.31893,0.00132905,2.12168,1.51199,19.526,3.75265
37.9569,30.201,53.2706,0.59958,1.29829,1.24002,84.416,0.00294878,6.91923,7.00876,34.6988,0.572748,0.564524,0.560699,8.37221,0.00108046,2.12042,1.5113,19.4158,3.74844
37.9574,30.2015,53.2709,0.477425,1.29955,1.24126,84.3833,0.00367978,6.9198,7.00929,34.699,0.450594,0.565784,0.561939,8.33953,0.00108259,2.12114,1.5128,19.4777,3.75767
37.9577,30.2017,53.2702,0.558028,1.29801,1.23992,84.3691,0.00444105,6.92002,7.00953,34.6984,0.531197,0.564242,0.560603,8.32533,0.00173845,2.12153,1.5118,19.5115,3.75152
37.9554,30.1994,53.2706,0.521641,1.29893,1.24079,84.3783,0.00523225,6.91771,7.00721,34.6988,0.494809,0.565168,0.561471,8.33452,0.00139861,2.12125,1.51231,19.4896,3.75462
37.9559,30.2,53.2706,0.527542,1.29834,1.24018,84.3766,0.00390148,6.91826,7.00779,34.6988,0.50071,0.564569,0.560859,8.33277,0.00165579,2.12135,1.51222,19.4952,3.75408
37.9575,30.2016,53.2709,0.49012,1.29923,1.24096,84.4106,0.00531816,6.91986,7.00938,34.6991,0.463289,0.565459,0.561635,8.36683,0.00100576,2.12045,1.51264,19.4231,3.75668
37.9552,30.1992,53.2705,0.448915,1.29865,1.24054,84.3766,0.00477382,6.91751,7.00701,34.6987,0.422084,0.564887,0.561222,8.33276,0.00108652,2.12131,1.51322,19.4949,3.76023
37.9562,30.2003,53.2705,0.514554,1.29839,1.24023,84.3645,0.00356057,6.91853,7.00806,34.6986,0.487723,0.564621,0.560911,8.32072,0.0009648,2.12165,1.51238,19.5212,3.75505
37.9535,30.1976,53.2713,0.529383,1.29968,1.24123,84.4373,0.00539973,6.91589,7.00537,34.6994,0.502551,0.565914,0.561914,8.39349,0.00209261,2.11978,1.51225,19.3651,3.75426
37.9557,30.1998,53.2706,0.522913,1.29867,1.24051,84.3922,0.00686553,6.91807,7.00756,34.6987,0.496082,0.564905,0.561188,8.3484,0.00223119,2.12088,1.51228,19.4605,3.75447
37.9571,30.2012,53.2707,0.476177,1.29811,1.23983,84.4043,0.00359271,6.91945,7.00895,34.6988,0.449346,0.564346,0.560506,8.36049,0.000761747,2.1207,1.51283,19.4412,3.75783
37.9562,30.2002,53.2711,0.483093,1.29937,1.24087,84.4405,0.00468131,6.91852,7.00802,34.6993,0.456262,0.565605,0.56155,8.3967,0.000715405,2.11973,1.51276,19.3627,3.75741
37.9576,30.2017,53.2706,0.615489,1.29808,1.23996,84.3847,0.00452055,6.91993,7.00946,34.6987,0.588657,0.564317,0.560643,8.34093,0.00203792,2.12115,1.51109,19.4785,3.74713
37.9562,30.2003,53.2708,0.55995,1.29834,1.24018,84.3921,0.00413206,6.9186,7.00814,34.6989,0.533118,0.564573,0.560862,8.34832,0.00197226,2.12097,1.51181,19.4625,3.75155
37.9559,30.2,53.2707,0.571022,1.298,1.23977,84.3936,0.00576561,6.91825,7.00777,34.6989,0.54419,0.564232,0.56045,8.34979,0.00203273,2.12091,1.51168,19.4609,3.75076
37.9564,30.2005,53.2705,0.575263,1.29809,1.24002,84.3801,0.00502537,6.91876,7.0083,34.6986,0.548432,0.564328,0.560697,8.33626,0.00123866,2.12125,1.51162,19.4897,3.75037
37.9555,30.1995,53.2707,0.460449,1.29748,1.23926,84.3745,0.00451356,6.91783,7.00733,34.6988,0.433617,0.563718,0.559941,8.33064,0.00110357,2.12143,1.51306,19.5043,3.75928
37.9563,30.2003,53.2707,0.554919,1.29792,1.23971,84.3766,0.00512154,6.91861,7.00814,34.6989,0.528087,0.564157,0.560387,8.33278,0.00186249,2.12134,1.51187,19.4965,3.75193
37.9561,30.2001,53.271,0.481045,1.29955,1.24119,84.406,0.00466643,6.91841,7.00789,34.6991,0.454213,0.565784,0.561865,8.36223,0.00124507,2.12056,1.51279,19.4309,3.75759
37.9547,30.1988,53.2708,0.463754,1.29836,1.24013,84.3766,0.00206426,6.91709,7.00661,34.699,0.436923,0.56459,0.560812,8.33278,0.000725708,2.1214,1.51304,19.4971,3.75913
37.9582,30.2023,53.2703,0.507603,1.29832,1.24018,84.3816,0.00679688,6.92059,7.01008,34.6985,0.480772,0.564557,0.56086,8.33776,0.00194131,2.12116,1.51241,19.4843,3.75528
37.9554,30.1995,53.2707,0.545221,1.29932,1.24102,84.3951,0.00535098,6.91777,7.00726,34.6989,0.51839,0.565552,0.5617,8.35128,0.00165797,2.12082,1.51201,19.4533,3.7528
37.9581,30.2022,53.2703,0.503346,1.29773,1.23968,84.3645,0.00450472,6.92044,7.00997,34.6984,0.476515,0.563965,0.560363,8.3207,0.00155196,2.12166,1.51247,19.5226,3.75563
37.9541,30.1982,53.2704,0.486088,1.29749,1.23938,84.3663,0.00378695,6.9165,7.00602,34.6986,0.459257,0.563727,0.560056,8.32246,0.00135233,2.12165,1.51278,19.5205,3.75754
37.9553,30.1994,53.2703,0.604368,1.29804,1.23992,84.3727,0.00427344,6.91768,7.00717,34.6985,0.577537,0.564276,0.560598,8.32888,0.00192485,2.12145,1.51129,19.5038,3.74834
37.9568,30.2008,53.2702,0.481059,1.2981,1.24001,84.3968,0.00380977,6.91912,7.00863,34.6983,0.454228,0.564331,0.560693,8.353,0.00131628,2.12087,1.51278,19.4551,3.75754
37.9569,30.201,53.2699,0.51126,1.29708,1.23921,84.3467,0.00562451,6.91923,7.00879,34.698,0.484429,0.563311,0.559887,8.30291,0.00171366,2.12209,1.51241,19.5614,3.75524
37.9571,30.2011,53.2705,0.552721,1.29863,1.24041,84.3954,0.00267667,6.91944,7.00894,34.6987,0.52589,0.564859,0.561085,8.35158,0.000950055,2.12091,1.51188,19.4569,3.75199
37.957,30.201,53.27,0.47013,1.2972,1.23924,84.3467,0.00243115,6.91932,7.00885,34.6982,0.443298,0.563433,0.55992,8.30293,0.000312115,2.12217,1.51291,19.5639,3.75836
37.9566,30.2007,53.2705,0.510305,1.29855,1.24037,84.3901,0.00499002,6.91898,7.00848,34.6986,0.483474,0.564781,0.561047,8.34628,0.00168027,2.12099,1.51242,19.4665,3.7553
37.958,30.2021,53.2704,0.565245,1.29738,1.23932,84.3748,0.00464038,6.92034,7.00987,34.6986,0.538414,0.563611,0.559995,8.33101,0.00170429,2.12142,1.5117,19.5025,3.7509
37.9574,30.2015,53.2701,0.501805,1.29748,1.23949,84.345,0.00609547,6.91974,7.00928,34.6982,0.474973,0.563709,0.560168,8.30118,0.00163048,2.12211,1.51251,19.5637,3.75587
37.9564,30.2005,53.2708,0.564469,1.29821,1.24,84.3801,0.00446302,6.91873,7.00827,34.699,0.537638,0.564439,0.560683,8.33628,0.00211629,2.12126,1.51175,19.4876,3.75118
37.9562,30.2003,53.2703,0.51161,1.29838,1.24031,84.3698,0.00437743,6.91859,7.00807,34.6985,0.484779,0.564612,0.560987,8.326,0.00129324,2.1215,1.51241,19.5095,3.75528
37.9587,30.2028,53.2702,0.592099,1.29722,1.2392,84.3623,0.00533404,6.92103,7.01057,34.6984,0.565268,0.563456,0.559883,8.31849,0.00110725,2.12172,1.51136,19.5301,3.74876
37.9548,30.1989,53.2702,0.494953,1.29728,1.23925,84.3691,0.00499436,6.91718,7.00671,34.6984,0.468122,0.563517,0.559925,8.32532,0.00172778,2.12155,1.51266,19.5145,3.75677
37.9556,30.1997,53.2707,0.52225,1.29811,1.23988,84.399,0.00533026,6.918,7.00752,34.6988,0.495419,0.564338,0.560561,8.35516,0.00226074,2.12078,1.51229,19.449,3.75452
37.9552,30.1992,53.2706,0.489529,1.29863,1.24036,84.3968,0.00474224,6.91757,7.00703,34.6988,0.462698,0.56486,0.561041,8.35303,0.00085846,2.12082,1.51271,19.4542,3.7571
37.9563,30.2004,53.2707,0.476134,1.29568,1.23754,84.411,0.00379509,6.91865,7.00821,34.6989,0.449303,0.561918,0.558214,8.3672,0.0014926,2.12064,1.51285,19.4356,3.75795
37.957,30.2011,53.2709,0.484237,1.29874,1.24044,84.4249,0.00410598,6.91936,7.00891,34.6991,0.457406,0.564972,0.561116,8.38105,0.00112222,2.12015,1.51273,19.3959,3.7572
37.9558,30.1999,53.2705,0.514005,1.29822,1.24012,84.3766,0.00428601,6.91813,7.00765,34.6987,0.487173,0.564454,0.560801,8.33276,0.00161731,2.12135,1.51239,19.4956,3.75515
37.9557,30.1998,53.2704,0.514389,1.29799,1.23993,84.3645,0.004764,6.91808,7.00761,34.6986,0.487558,0.564225,0.560613,8.3207,0.00182997,2.12164,1.51239,19.5209,3.75513
37.9556,30.1997,53.2702,0.58428,1.29739,1.23929,84.3748,0.00389484,6.91799,7.00749,34.6984,0.557449,0.563627,0.559971,8.33103,0.00173916,2.12144,1.51153,19.5023,3.74983
37.9568,30.2009,53.271,0.556918,1.29807,1.2398,84.3886,0.00430382,6.91915,7.00868,34.6991,0.530086,0.564304,0.560483,8.34484,0.00134774,2.12106,1.51183,19.4723,3.75168
37.9548,30.1989,53.2705,0.570955,1.29819,1.24008,84.3882,0.00441574,6.91718,7.0067,34.6987,0.544123,0.564423,0.560756,8.34443,0.00190247,2.12106,1.51171,19.4712,3.75094
37.9575,30.2016,53.2703,0.549846,1.29773,1.23963,84.3645,0.00408224,6.91989,7.00941,34.6985,0.523015,0.563959,0.560309,8.32071,0.00186963,2.12167,1.51191,19.522,3.75216
37.958,30.202,53.2705,0.55575,1.29826,1.24014,84.3784,0.00447548,6.92032,7.00984,34.6987,0.528919,0.564496,0.560823,8.33455,0.00147816,2.1213,1.51182,19.4921,3.75162
37.9548,30.1988,53.2704,0.510839,1.2975,1.23941,84.3766,0.00499043,6.9171,7.00663,34.6986,0.484008,0.563732,0.560089,8.33276,0.00214087,2.12136,1.51246,19.4975,3.75555
37.9563,30.2003,53.2704,0.553596,1.29819,1.24008,84.3922,0.00504923,6.91863,7.0081,34.6986,0.526765,0.564428,0.560761,8.34839,0.00145338,2.12095,1.51189,19.4639,3.75206
37.957,30.201,53.2705,0.527553,1.29813,1.23991,84.4146,0.00394577,6.91931,7.00883,34.6987,0.500721,0.564367,0.560588,8.37078,0.00175658,2.12043,1.5122,19.4179,3.75393
37.9568,30.2009,53.2697,0.608206,1.29734,1.23951,84.3088,0.0046289,6.91919,7.00871,34.6979,0.581375,0.563572,0.560188,8.26497,0.0018348,2.12303,1.51121,19.639,3.74786
37.9588,30.2029,53.2703,0.58995,1.29685,1.23885,84.3517,0.00417486,6.9212,7.01072,34.6984,0.563119,0.563088,0.559527,8.30786,0.00130412,2.12202,1.51138,19.5532,3.7489
37.9581,30.2022,53.2704,0.527371,1.29796,1.23988,84.3766,0.00164992,6.92049,7.01001,34.6986,0.50054,0.564196,0.560557,8.33276,0.000366133,2.12142,1.51217,19.4992,3.75377
37.9553,30.1993,53.2702,0.510811,1.29697,1.23893,84.3659,0.00334263,6.91761,7.00715,34.6983,0.483979,0.563201,0.559609,8.32213,0.00113757,2.12169,1.51245,19.5236,3.75549
37.9561,30.2002,53.2702,0.489429,1.29795,1.23992,84.3467,0.00591769,6.91848,7.00798,34.6984,0.462598,0.564188,0.560599,8.30294,0.00193179,2.12205,1.51269,19.5576,3.75699
37.9574,30.2015,53.2709,0.57119,1.29889,1.24065,84.3886,0.00280849,6.91974,7.00928,34.6991,0.544358,0.565121,0.561325,8.34484,0.000965923,2.12106,1.51164,19.4697,3.7505
37.9563,30.2004,53.27,0.473089,1.29709,1.2391,84.3499,0.00517124,6.9187,7.00823,34.6981,0.446258,0.563319,0.559776,8.30614,0.00200974,2.12203,1.51289,19.5543,3.75823
37.9553,30.1993,53.2705,0.507806,1.29829,1.24012,84.3762,0.00325318,6.91765,7.00714,34.6987,0.480975,0.564528,0.560797,8.33239,0.00143594,2.12138,1.51248,19.4966,3.75569
37.9575,30.2015,53.2705,0.581909,1.29843,1.24023,84.3918,0.00463769,6.91981,7.00932,34.6987,0.555077,0.564666,0.560913,8.34803,0.00197788,2.12096,1.51151,19.4628,3.74971
37.9568,30.2009,53.2698,0.54479,1.29699,1.23916,84.3208,0.00317817,6.91916,7.00871,34.6979,0.517959,0.563226,0.559843,8.27698,0.000646919,2.12279,1.51199,19.6178,3.75269
37.9574,30.2014,53.2707,0.471268,1.29887,1.24065,84.383,0.00392918,6.91971,7.00923,34.6988,0.444436,0.565099,0.561333,8.33915,0.00180668,2.12117,1.51288,19.4796,3.75816
37.9531,30.1971,53.2723,0.0856104,1.30036,1.24163,84.4735,0.000472583,6.91543,7.00487,34.7005,0.058779,0.566589,0.562313,8.42968,8.60252e-06,2.11899,1.51777,19.2938,3.78847
37.9526,30.1965,53.2729,0.0671021,1.30058,1.24165,84.4856,0.000470486,6.91492,7.00434,34.7011,0.0402708,0.566811,0.562328,8.44176,7.64949e-06,2.11869,1.51801,19.269,3.78995
37.952,30.196,53.273,0.0957696,1.30072,1.24174,84.5097,0.000468472,6.91437,7.00377,34.7012,0.0689383,0.566952,0.562418,8.46589,1.00291e-05,2.1181,1.51766,19.22,3.7878
37.9523,30.1962,53.2731,0.096286,1.30038,1.24137,84.5097,0.00047784,6.91464,7.00402,34.7013,0.0694546,0.566613,0.562053,8.46589,1.90212e-05,2.11811,1.51765,19.2214,3.78771
37.951,30.1949,53.2736,0.0726698,1.3006,1.24141,84.5235,0.000462407,6.91336,7.00273,34.7018,0.0458384,0.566837,0.562089,8.47972,8.46764e-06,2.11777,1.51797,19.1933,3.78971
37.9493,30.1932,53.2738,0.0747557,1.30037,1.24109,84.5395,0.000476073,6.91163,7.00096,34.702,0.0479243,0.566601,0.561773,8.49573,1.11812e-05,2.11739,1.51798,19.1624,3.78981
37.9503,30.1942,53.2738,0.0746886,1.30062,1.24137,84.5413,0.000463942,6.91266,7.00201,34.702,0.0478573,0.566856,0.562047,8.49748,9.52792e-06,2.11734,1.51796,19.1579,3.78965
37.949,30.1929,53.274,0.122113,1.30041,1.24108,84.5484,0.000493186,6.91133,7.00069,34.7021,0.0952814,0.566648,0.561762,8.50461,2.1866e-05,2.11718,1.5174,19.1447,3.78615
37.9498,30.1937,53.2741,0.0896867,1.30003,1.24067,84.5743,0.000476187,6.91214,7.00151,34.7022,0.0628553,0.566262,0.561346,8.53049,9.95052e-06,2.11657,1.51778,19.095,3.78854
37.9497,30.1936,53.2738,0.0975486,1.29992,1.24064,84.5381,0.000473927,6.91205,7.00141,34.702,0.0707172,0.566157,0.561321,8.4943,1.28e-05,2.11745,1.51769,19.167,3.78796
37.9488,30.1927,53.2742,0.0966183,1.30032,1.2409,84.5519,0.00047508,6.91115,7.0005,34.7024,0.069787,0.566549,0.561582,8.50812,1.13808e-05,2.1171,1.51772,19.1383,3.78815
37.9495,30.1934,53.2743,0.0816556,1.29989,1.24047,84.5743,0.000481704,6.91184,7.0012,34.7024,0.0548242,0.566123,0.561153,8.53049,1.41988e-05,2.11658,1.51789,19.0956,3.7892
37.9489,30.1928,53.2745,0.0996225,1.29985,1.24034,84.5864,0.000477763,6.91127,7.00064,34.7027,0.0727912,0.566086,0.561019,8.54255,1.32734e-05,2.11629,1.51767,19.0721,3.78787
37.9495,30.1934,53.2744,0.0872728,1.30002,1.24052,84.5761,0.000467837,6.91183,7.00117,34.7026,0.0604415,0.566255,0.561203,8.53226,9.80519e-06,2.11653,1.51781,19.0918,3.78875
37.9484,30.1923,53.2745,0.109059,1.30039,1.24085,84.5761,0.000471621,6.91075,7.00008,34.7027,0.0822277,0.566624,0.561525,8.53226,1.67476e-05,2.11651,1.51757,19.0904,3.78722
37.9476,30.1915,53.2748,0.0687741,1.30015,1.24053,84.5881,0.000476466,6.91,6.99934,34.7029,0.0419427,0.566383,0.561212,8.54432,7.99744e-06,2.11623,1.51809,19.0677,3.79045
37.9478,30.1917,53.2748,0.086465,1.29984,1.24021,84.5881,0.000481764,6.91018,6.99952,34.7029,0.0596337,0.56607,0.560892,8.54432,1.09129e-05,2.11625,1.51786,19.069,3.78905
37.9479,30.1918,53.2748,0.0835668,1.29994,1.24027,84.5761,0.000467932,6.91025,6.99959,34.7029,0.0567355,0.566168,0.560952,8.53228,9.00382e-06,2.11654,1.5179,19.0924,3.78926
37.9464,30.1902,53.2751,0.0983343,1.29999,1.24022,84.5881,0.000485509,6.90871,6.99803,34.7033,0.071503,0.566219,0.560899,8.54434,1.38946e-05,2.11624,1.51775,19.0686,3.78832
37.9467,30.1906,53.2749,0.0573095,1.29977,1.24008,84.5899,0.00046395,6.90905,6.99837,34.7031,0.0304782,0.566007,0.560762,8.54608,6.59886e-06,2.11621,1.51825,19.0659,3.79148
37.9478,30.1917,53.2753,0.0725122,1.29983,1.24003,84.5899,0.00046883,6.91014,6.99948,34.7034,0.0456809,0.566066,0.560709,8.54609,9.7935e-06,2.11621,1.51803,19.0658,3.7901
37.9474,30.1913,53.275,0.0989977,1.30006,1.24035,84.5778,0.000479357,6.90976,6.99912,34.7031,0.0721663,0.566292,0.561032,8.53403,1.3621e-05,2.11649,1.51771,19.0885,3.78812
37.9487,30.1925,53.275,0.0957302,1.30048,1.24074,84.6176,0.000468113,6.91101,7.00033,34.7032,0.0688989,0.566712,0.561419,8.57376,1.21452e-05,2.1155,1.51772,19.0088,3.78817
37.9477,30.1916,53.275,0.0865201,1.30015,1.24044,84.5881,0.000466772,6.91002,6.99935,34.7031,0.0596887,0.566384,0.561119,8.54433,1.27917e-05,2.11623,1.51786,19.0679,3.78905
37.9479,30.1918,53.2754,0.0888623,1.29977,1.23991,84.6077,0.000489809,6.91026,6.99961,34.7035,0.0620309,0.566004,0.560587,8.56385,1.12874e-05,2.11578,1.51782,19.0312,3.7888
37.9474,30.1913,53.2751,0.110743,1.2999,1.24012,84.6318,0.000473999,6.90977,6.99913,34.7033,0.083912,0.566129,0.560802,8.58796,1.53128e-05,2.11519,1.51756,18.9833,3.78719
37.948,30.1918,53.2753,0.119162,1.29983,1.23999,84.6318,0.000486404,6.91032,6.99965,34.7034,0.0923309,0.566064,0.560665,8.58797,1.47658e-05,2.11519,1.51744,18.9837,3.78644
37.9464,30.1903,53.2752,0.091463,1.30011,1.24029,84.6077,0.000468832,6.90879,6.99811,34.7034,0.0646316,0.566342,0.560973,8.56384,1.10087e-05,2.11577,1.51783,19.0298,3.78884
37.9467,30.1906,53.2752,0.0747564,1.29982,1.24001,84.6076,0.000467356,6.90904,6.99835,34.7034,0.047925,0.56605,0.560692,8.56384,8.22303e-06,2.11578,1.51803,19.031,3.7901
37.9463,30.1902,53.2753,0.115497,1.29984,1.24002,84.6094,0.000469088,6.9087,6.99802,34.7035,0.0886656,0.566074,0.560701,8.56559,1.3768e-05,2.11574,1.51753,19.0275,3.78698
37.947,30.1909,53.2755,0.0899487,1.29996,1.24008,84.6077,0.000471106,6.90936,6.99866,34.7036,0.0631174,0.566192,0.560762,8.56385,1.24908e-05,2.11577,1.51783,19.0305,3.78885
37.9483,30.1922,53.2755,0.121174,1.29995,1.24008,84.6094,0.000498025,6.91062,6.99996,34.7036,0.0943425,0.566187,0.560764,8.5656,3.54575e-05,2.11573,1.51741,19.0271,3.78622
37.9473,30.1912,53.2754,0.0922663,1.29997,1.24011,84.6318,0.000472295,6.90965,6.99897,34.7036,0.065435,0.566205,0.560792,8.58797,1.6471e-05,2.11519,1.51779,18.9832,3.78863
37.9459,30.1898,53.2755,0.08823,1.30022,1.2403,84.6335,0.000470371,6.9083,6.99761,34.7037,0.0613987,0.566455,0.560982,8.58973,1.23285e-05,2.11513,1.51788,18.9789,3.78914
37.947,30.1909,53.2753,0.051117,1.3,1.24021,84.6094,0.000461632,6.90938,6.99872,34.7034,0.0242856,0.566234,0.560886,8.56559,7.75656e-06,2.11573,1.51832,19.0268,3.79188
37.9477,30.1916,53.2755,0.0627245,1.30015,1.24024,84.6318,0.000467485,6.9101,6.99941,34.7036,0.0358931,0.566382,0.560917,8.58797,7.24167e-06,2.11518,1.51815,18.9826,3.79085
37.9464,30.1903,53.2752,0.0839092,1.29959,1.23979,84.6335,0.00047012,6.90876,6.9981,34.7034,0.0570778,0.565825,0.560466,8.58971,1.15961e-05,2.11516,1.51792,18.9812,3.78943
37.9473,30.1911,53.2755,0.0762117,1.30018,1.24025,84.6335,0.00046981,6.90961,6.99894,34.7037,0.0493803,0.566417,0.560933,8.58973,1.59416e-05,2.11514,1.51799,18.9791,3.78988
37.946,30.1899,53.2754,0.0912813,1.29993,1.24009,84.6353,0.000466053,6.90839,6.99772,34.7035,0.0644499,0.566162,0.560771,8.59146,1.01706e-05,2.1151,1.51784,18.9765,3.7889
37.9458,30.1897,53.2758,0.0990214,1.30035,1.24034,84.6456,0.000474533,6.90818,6.99751,34.704,0.07219,0.566585,0.561019,8.60178,1.2712e-05,2.11484,1.51774,18.9551,3.7883
37.9464,30.1903,53.2759,0.073797,1.29993,1.23991,84.6456,0.000472768,6.90877,6.99812,34.704,0.0469656,0.566158,0.560584,8.60178,1.32138e-05,2.11486,1.51804,18.9567,3.79016
37.9461,30.19,53.2759,0.0769086,1.30012,1.24011,84.6456,0.000476841,6.90843,6.99777,34.704,0.0500773,0.566358,0.560785,8.60178,1.28368e-05,2.11485,1.51801,18.956,3.78998
37.9452,30.189,53.2761,0.0711987,1.30017,1.24004,84.6456,0.000474921,6.90751,6.99684,34.7042,0.0443674,0.566402,0.560717,8.6018,1.81622e-05,2.11485,1.5181,18.956,3.79055
37.9465,30.1904,53.2758,0.0861015,1.30003,1.24006,84.6473,0.000466749,6.90886,6.99821,34.7039,0.0592702,0.566264,0.560738,8.60352,1.07074e-05,2.11481,1.51789,18.9528,3.7892
37.9462,30.1901,53.2758,0.0915306,1.29989,1.23989,84.6442,0.000466608,6.90856,6.99792,34.704,0.0646992,0.566123,0.560573,8.60035,1.38934e-05,2.11489,1.51783,18.9596,3.78882
37.9453,30.1892,53.2757,0.073579,1.2998,1.23983,84.6545,0.000465797,6.90765,6.997,34.7039,0.0467476,0.566031,0.560506,8.61064,8.19529e-06,2.11465,1.51807,18.9399,3.79036
37.9464,30.1903,53.2758,0.0884521,1.29994,1.23992,84.6353,0.000470199,6.90871,6.99806,34.704,0.0616208,0.566169,0.560596,8.59149,1.03866e-05,2.11511,1.51786,18.9768,3.78904
37.9452,30.1891,53.2759,0.096725,1.2998,1.23976,84.6473,0.000470066,6.9076,6.99694,34.704,0.0698937,0.566031,0.560438,8.60353,1.25803e-05,2.11482,1.51778,18.9539,3.78856
37.9455,30.1893,53.276,0.107007,1.29993,1.23985,84.6545,0.000473657,6.9078,6.99712,34.7041,0.0801761,0.56616,0.560529,8.61066,1.77816e-05,2.11464,1.51765,18.9396,3.78772
37.9446,30.1885,53.2762,0.0981606,1.29996,1.23977,84.6562,0.000478146,6.907,6.99631,34.7044,0.0713293,0.566197,0.560445,8.61243,1.56936e-05,2.1146,1.51778,18.9362,3.78852
37.9446,30.1885,53.2762,0.0268314,1.29996,1.23976,84.6562,0.000447434,6.90696,6.99627,34.7044,0,0.56619,0.560441,8.61243,5.56796e-07,2.1146,1.51867,18.9363,3.79408
37.9446,30.1885,53.2762,0.0268379,1.29995,1.23976,84.6562,0.000447436,6.907,6.99631,34.7044,6.5021e-06,0.566187,0.560437,8.61243,5.58914e-07,2.1146,1.51867,18.9363,3.79408
37.9447,30.1885,53.2762,0.0268379,1.29996,1.23976,84.6562,0.000447436,6.90703,6.99634,34.7044,6.5021e-06,0.566189,0.560438,8.61243,5.58911e-07,2.1146,1.51867,18.9363,3.79407
37.9447,30.1886,53.2762,0.0268362,1.29997,1.23978,84.6562,0.000447443,6.90708,6.99639,34.7044,4.81355e-06,0.566206,0.560457,8.61243,5.5792e-07,2.1146,1.51867,18.9362,3.79407
37.9446,30.1885,53.2762,0.0268314,1.29996,1.23977,84.6562,0.000447434,6.90696,6.99627,34.7044,0,0.566196,0.560448,8.61243,5.56796e-07,2.1146,1.51867,18.9362,3.79408
37.9446,30.1884,53.2762,0.0268362,1.29997,1.23978,84.6562,0.000447437,6.90692,6.99623,34.7044,4.81355e-06,0.566203,0.560455,8.61243,5.5792e-07,2.1146,1.51867,18.9362,3.79409
37.9445,30.1884,53.2762,0.0268394,1.29997,1.23978,84.6562,0.000447444,6.9069,6.99621,34.7044,8.0646e-06,0.566207,0.560458,8.61243,5.58979e-07,2.1146,1.51867,18.9362,3.79409
